"","date","region","new_cases","new_pred_cases","region_cases","pred_region_cases","pred_region_cases_low","pred_region_cases_high"
"1008","2020-02-28","Europe",726.809523809524,422161.706320353,1133,1445099.8949739,643574.479884175,3402296.19468717
"1012","2020-02-28","Americas",32.0476190476191,63019.7196542627,34,0,0,244434.747279964
"1019","2020-02-28","Africa",4.28571428571429,27315.0411753131,3,0,0,2652942.77406512
"1063","2020-02-29","Asia",1132.61904761905,642021.645760091,84426,64224687.1446773,36716292.2328118,108739745.32793
"1065","2020-02-29","Oceania",4.61904761904762,4049.03937284816,26,0,0,6870.46869901021
"1066","2020-02-29","Europe",897.142857142857,476401.169168302,1504,1823657.52800326,840576.378596009,4130589.59274953
"1070","2020-02-29","Americas",42.6666666666667,89780.6852110289,52,129.940195439104,0,340816.563388102
"1077","2020-02-29","Africa",4.90476190476191,37917.5150871358,3,760.657949411726,0,3143105.81437432
"1124","2020-03-01","Asia",1192.2380952381,621720.519130478,86025,64670257.0025942,37068261.78137,111045873.471899
"1127","2020-03-01","Oceania",5.61904761904762,5489.62791977213,28,0,0,12803.9525323067
"1128","2020-03-01","Europe",1155.90476190476,532988.907718392,2259,2275464.58121931,1084973.52485701,4959912.14900257
"1133","2020-03-01","Americas",65,122858.617249842,77,1237.93826862996,0,524652.979775563
"1142","2020-03-01","Africa",5.57142857142857,51112.8748345229,4,4230.74674505888,0,4210627.05257032
"1190","2020-03-02","Europe",1342.47619047619,591676.456888339,2818,2806337.50153314,1382383.16638308,5887191.3881188
"1191","2020-03-02","Asia",1230.33333333333,609988.085205811,87403,65118129.7104731,37411121.423425,113496523.009634
"1194","2020-03-02","Oceania",5.61904761904762,7222.29834688204,31,355.284194882687,0,21224.3427186967
"1200","2020-03-02","Americas",87.3809523809524,162712.916329635,102,3784.44310581976,0,774292.026421404
"1209","2020-03-02","Africa",6.33333333333333,67310.6852803377,8,10019.5053991246,0,5313194.87404338
"1262","2020-03-03","Asia",1288.14285714286,606057.205095013,89270,65576442.729499,37746888.0106907,116095036.4458
"1264","2020-03-03","Americas",127.952380952381,209785.70340024,128,21431.1691317491,82.521206612371,1108173.49452044
"1266","2020-03-03","Oceania",9.04761904761905,9251.92256308571,40,1643.2085156281,0,32667.4545600314
"1267","2020-03-03","Europe",1890.09523809524,652092.068096386,3496,3422018.15013223,1738026.91705671,6911550.99184999
"1281","2020-03-03","Africa",8.38095238095238,86467.7654630966,11,20436.1587898551,0,7132617.53313876
"1337","2020-03-04","Asia",1297.7619047619,609477.759313241,90501,66048362.9132539,38078366.0341246,118854890.986986
"1339","2020-03-04","Americas",166.904761904762,263901.793125368,167,70437.0247905253,1316.86196158694,1564107.03364791
"1341","2020-03-04","Oceania",11.4761904761905,11563.81513513,55,4326.58704294288,0,47640.9588087671
"1342","2020-03-04","Europe",2275.04761904762,713770.091157097,4504,4126874.21987963,2158110.11776928,8033606.03717238
"1356","2020-03-04","Africa",12.047619047619,108790.81689228,21,46187.0799705407,46.3930341756535,9103702.45663943
"1415","2020-03-05","Europe",2689.85714285714,776154.28399423,5885,4922058.15586326,2647454.99366712,9252976.57134165
"1416","2020-03-05","Asia",1377.90476190476,620249.842889856,91782,66542809.893719,38407454.3447673,121818302.934748
"1418","2020-03-05","Americas",181.428571428571,324603.238266812,246,166461.200440109,18810.4765157559,2144886.20424032
"1420","2020-03-05","Oceania",13.8095238095238,14150.5160437767,58,8781.83241039697,0,66584.9941515503
"1436","2020-03-05","Africa",14.8571428571429,134739.327980114,24,92779.3118978953,104.135392992538,11161272.4983506
"1496","2020-03-06","Asia",1433.95238095238,638085.949893159,93816,67059603.4665973,38735310.5027351,124811224.280746
"1498","2020-03-06","Americas",267.666666666667,391630.50663126,316,321794.599293348,63410.8461212507,2867116.91439968
"1500","2020-03-06","Oceania",17.6190476190476,17001.3090463719,64,15781.8427571058,714.797213792791,90295.5939490753
"1501","2020-03-06","Europe",3207.2380952381,838545.443196355,7742,5804012.34772073,3208185.65766671,10565365.9454824
"1513","2020-03-06","Africa",19,164080.797895825,43,171836.934592487,170.389745290345,13583165.3624583
"1585","2020-03-07","Asia",1493.47619047619,663124.524951468,95559,67606271.5722232,39060628.1129376,127747458.617443
